game,Console,TotalSales,Publisher,genre,Releasedate,urlimg,urlgame
Agatha Christie's The ABC Murders,PS4,0.08,Unfinished Pixel,Adventure,23 Feb 16,https://www.vgchartz.com/games/boxart/full_2374032AmericaFrontccc.jpg,https://www.vgchartz.com/game/86413/agatha-christies-the-abc-murders/?region=All
The Sexy Brutale,PS4,0.08,Badland Games,Adventure,29 Aug 17,https://www.vgchartz.com/games/boxart/full_5598812AmericaFrontccc.jpg,https://www.vgchartz.com/game/171078/the-sexy-brutale/?region=All
Loading Human,PS4,0.08,Maximum Games,Adventure,13 Oct 16,https://www.vgchartz.com/games/boxart/full_7240802AmericaFrontccc.jpg,https://www.vgchartz.com/game/137630/loading-human/?region=All
The Book of Unwritten Tales 2,PS4,0.07,Nordic Games,Adventure,18 Sep 15,https://www.vgchartz.com/games/boxart/full_8233924AmericaFrontccc.jpg,https://www.vgchartz.com/game/86119/the-book-of-unwritten-tales-2/?region=All
The Walking Dead: A Telltale Series Collection,PS4,0.07,Warner Bros. Interactive Entertainment,Adventure,05 Dec 17,https://www.vgchartz.com/games/boxart/full_1875986AmericaFrontccc.jpg,https://www.vgchartz.com/game/217401/the-walking-dead-a-telltale-series-collection/?region=All
Broken Sword 5: The Serpent's Curse,PS4,0.07,Unbalance,Adventure,26 Apr 19,https://www.vgchartz.com/games/boxart/full_1690879PALFrontccc.jpg,https://www.vgchartz.com/game/85917/broken-sword-5-the-serpents-curse/?region=All
Home Sweet Home (2017),PS4,0.07,Mastiff,Adventure,16 Oct 18,https://www.vgchartz.com/games/boxart/full_3745843AmericaFrontccc.jpg,https://www.vgchartz.com/game/222525/home-sweet-home-2017/?region=All
Batman: The Enemy Within,PS4,0.07,Telltale Games,Adventure,03 Oct 17,https://www.vgchartz.com/games/boxart/full_9287799AmericaFrontccc.jpg,https://www.vgchartz.com/game/193509/batman-the-enemy-within/?region=All
Hello Neighbor: Hide & Seek,PS4,0.07,Gearbox Software,Adventure,07 Dec 18,https://www.vgchartz.com/games/boxart/full_1628390AmericaFrontccc.jpg,https://www.vgchartz.com/game/222842/hello-neighbor-hide-amp-seek/?region=All
Steins;Gate 0,PS4,0.07,PQube,Adventure,29 Nov 16,https://www.vgchartz.com/games/boxart/full_6319520AmericaFrontccc.jpeg,https://www.vgchartz.com/game/85698/steinsgate-0/?region=All
Sherlock Holmes: The Devil's Daughter,PS4,0.06,Bigben Interactive,Adventure,25 Oct 16,https://www.vgchartz.com/games/boxart/full_5979868AmericaFrontccc.jpg,https://www.vgchartz.com/game/119056/sherlock-holmes-the-devils-daughter/?region=All
Game of Thrones: A Telltale Games Series,PS4,0.06,Telltale Games,Adventure,17 Nov 15,https://www.vgchartz.com/games/boxart/full_4285428AmericaFrontccc.jpg,https://www.vgchartz.com/game/84860/game-of-thrones-a-telltale-games-series/?region=All
Outcast: Second Contact,PS4,0.06,Maximum Games,Adventure,14 Nov 17,https://www.vgchartz.com/games/boxart/full_360340AmericaFrontccc.jpg,https://www.vgchartz.com/game/206311/outcast-second-contact/?region=All
King's Quest: The Complete Collection,PS4,0.06,Activision,Adventure,24 Oct 16,https://www.vgchartz.com/games/boxart/full_4993554AmericaFrontccc.jpg,https://www.vgchartz.com/game/141656/kings-quest-the-complete-collection/?region=All
Black Mirror,PS4,0.05,THQ Nordic,Adventure,28 Nov 17,https://www.vgchartz.com/games/boxart/full_7433314AmericaFrontccc.jpg,https://www.vgchartz.com/game/197163/black-mirror/?region=All
Syberia III,PS4,0.05,Anuman,Adventure,01 Jan 16,https://www.vgchartz.com/games/boxart/full_1166880AmericaFrontccc.jpg,https://www.vgchartz.com/game/84700/syberia-iii/?region=All
Don't Starve,PS4,0.05,Klei Entertainment,Adventure,17 Apr 18,https://www.vgchartz.com/games/boxart/full_797103AmericaFrontccc.jpg,https://www.vgchartz.com/game/73138/dont-starve/?region=All
ARK Park,PS4,0.05,Snail Games USA,Adventure,30 Oct 18,https://www.vgchartz.com/games/boxart/full_5164671AmericaFrontccc.jpg,https://www.vgchartz.com/game/222434/ark-park/?region=All
Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,PS4,0.05,NIS America,Adventure,20 Sep 16,https://www.vgchartz.com/games/boxart/full_3046214AmericaFrontccc.jpg,https://www.vgchartz.com/game/129512/tokyo-twilight-ghost-hunters-daybreak-special-gigs/?region=All
Zero Escape The Nonary Games,PS4,0.04,Aksys Games,Adventure,24 Mar 17,https://www.vgchartz.com/games/boxart/full_6744050AmericaFrontccc.jpg,https://www.vgchartz.com/game/158310/zero-escape-the-nonary-games/?region=All
Here They Lie,PS4,0.04,Sony Interactive Entertainment,Adventure,13 Oct 16,https://www.vgchartz.com/games/boxart/full_9307077AmericaFrontccc.jpg,https://www.vgchartz.com/game/142336/here-they-lie/?region=All
